"年度[西暦]","登録団体数","利用件数[件]","利用者数[人]","図書貸出冊数[冊]","スライド・ビデオ貸出件数[件]"
"2018","279","2690","36009","204","16"
"2019","288","2770","34507","211","27"
"2020","293","1646","13646","200","7"
"2021","293","1464","12817","114","6"
"2022",,,,,

"令和5年度港区行政資料集　施設利用状況一覧 商工会館","Ver202303",,,,
