"年度","登録団体数","延べ利用者数[人]"
"2015","11","9094"
"2016","10","9205"
"2017","10","9249"
"2018","11","10318"
"2019","11","6817"

"令和2年度港区行政資料集　施設利用状況一覧 国際交流スペース","Ver202003",
