"選挙名称","時現在","投票者数[人]","投票率[%]"
"平成28年6月12日執行　港区長選挙","8時現在",652,0.35
"平成28年6月12日執行　港区長選挙","9時現在",1640,0.88
"平成28年6月12日執行　港区長選挙","10時現在",3559,1.91
"平成28年6月12日執行　港区長選挙","11時現在",6686,3.59
"平成28年6月12日執行　港区長選挙","12時現在",10115,5.43
"平成28年6月12日執行　港区長選挙","13時現在",13452,7.23
"平成28年6月12日執行　港区長選挙","14時現在",16476,8.85
"平成28年6月12日執行　港区長選挙","15時現在",19559,10.51
"平成28年6月12日執行　港区長選挙","16時現在",22340,12.00
"平成28年6月12日執行　港区長選挙","17時現在",25508,13.70
"平成28年6月12日執行　港区長選挙","18時現在",29359,15.77
"平成28年6月12日執行　港区長選挙","19時現在",32966,17.71
"平成28年6月12日執行　港区長選挙","20時終了",45133,24.25

"平成28年6月12日執行 港区長選挙投票状況速報","Ver201606",,
