"年度","白金の森[人]","港南の郷[人]","サン･サン赤坂[人]","南麻布[人]","台場[人]","北青山[人]","芝[人]","虎ノ門[人]","合計[人]"
"2015","9544","8360","9969","7224","9841","10951","9287","9275","74451"
"2016","10136","8204","9805","8187","9860","11306","9847","9241","76586"
"2017","10148","8072","10176","7158","9104","11481","10579","8720","75438"
"2018","9609","8055","9959","7268","9728","11478","9591","8997","74685"
"2019","9112","7626","9835","7162","9501","11312","9333","9212","73093"

"令和2年度港区行政資料集　高齢者在宅サービスセンター通所介護事業延利用者数","Ver202003",,,,,,,,
