地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,インド,英国,タイ,フランス,ブラジル,オーストラリア,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,375363,128224,111851,31031,18402,7722,7507,6505,5164,4499,4044,50414,364964,10399
1,13100,区部,311574,106934,94906,23845,15184,7080,6661,5275,4877,2787,3595,40430,302450,9124
4,13101,千代田区,2488,729,471,75,224,93,93,25,217,14,48,499,2350,138
4,13102,中央区,3983,1406,942,110,284,191,124,56,97,17,67,689,3690,293
4,13103,港区,21011,2564,3299,1017,4720,897,1632,192,962,330,933,4465,20094,917
4,13104,新宿区,31156,9244,14034,840,728,222,429,665,1033,167,234,3560,30117,1039
4,13105,文京区,6806,2372,2297,207,309,145,105,119,238,52,65,897,6527,279
4,13106,台東区,10703,3586,4556,754,178,491,66,169,76,34,41,752,10186,517
4,13107,墨田区,8436,3381,2313,1250,103,71,61,349,27,46,13,822,8044,392
4,13108,江東区,16831,7376,4834,1580,272,548,109,339,71,135,96,1471,15758,1073
4,13109,品川区,10943,3490,2582,786,588,641,329,136,134,100,176,1981,10574,369
4,13110,目黒区,7835,1547,1579,662,894,216,381,148,200,66,235,1907,8062,-227
4,13111,大田区,16586,5773,4042,2170,591,240,249,351,97,337,112,2624,16271,315
4,13112,世田谷区,14498,3310,4056,903,1450,395,566,210,315,137,307,2849,14284,214
4,13113,渋谷区,11154,1710,1854,296,2033,208,1019,180,644,146,500,2564,11115,39
4,13114,中野区,10930,3908,3638,436,377,321,212,174,122,76,138,1528,10776,154
4,13115,杉並区,10718,3618,3296,503,642,129,268,182,123,83,150,1724,10606,112
4,13116,豊島区,15162,8368,3281,442,311,125,198,201,167,64,99,1906,15081,81
4,13117,北区,14257,7384,3341,930,150,161,128,134,38,151,58,1782,13794,463
4,13118,荒川区,13984,4529,7471,612,94,76,61,150,40,38,23,890,13645,339
4,13119,板橋区,15556,7739,3782,1434,268,89,161,199,68,158,64,1594,15704,-148
4,13120,練馬区,12537,4355,4235,951,456,291,181,285,91,122,79,1491,11942,595
4,13121,足立区,21626,6481,8824,3653,161,112,80,411,31,284,47,1542,21358,268
4,13122,葛飾区,12780,5075,4335,1506,136,87,73,213,34,92,36,1193,12143,637
4,13123,江戸川区,21594,8989,5844,2728,215,1331,136,387,52,138,74,1700,20329,1265
1,13200,市部,62780,21150,16782,6873,3161,630,839,1195,287,1614,447,9802,61485,1295
4,13201,八王子市,8120,3039,1935,983,249,48,67,113,32,239,45,1370,8028,92
4,13202,立川市,3393,1479,975,323,125,37,22,35,5,108,11,273,3254,139
4,13203,武蔵野市,2393,872,595,92,226,39,89,40,32,24,43,341,2416,-23
4,13204,三鷹市,2980,931,789,180,331,23,84,62,44,31,42,463,2949,31
4,13205,青梅市,1500,325,288,363,75,10,11,59,0,99,3,267,1461,39
4,13206,府中市,4186,1305,1103,461,292,69,59,84,16,84,21,692,4180,6
4,13207,昭島市,2206,774,754,233,52,8,5,14,4,60,5,297,2144,62
4,13208,調布市,3730,1191,1205,321,165,53,49,82,29,29,25,581,3662,68
4,13209,町田市,4863,1853,1206,492,254,71,91,91,15,47,41,702,4672,191
4,13210,小金井市,2339,975,420,133,158,33,48,41,25,11,28,467,2330,9
4,13211,小平市,3932,1063,1795,238,83,15,31,50,10,176,24,447,3881,51
4,13212,日野市,2396,1072,503,226,74,38,29,37,7,13,5,392,2224,172
4,13213,東村山市,1811,535,593,269,63,9,27,29,5,10,15,256,1743,68
4,13214,国分寺市,1687,667,488,106,94,8,42,18,14,17,27,206,1643,44
4,13215,国立市,1348,464,393,72,58,21,22,36,3,10,17,252,1416,-68
4,13218,福生市,2318,459,407,431,147,12,4,155,2,124,4,573,2282,36
4,13219,狛江市,818,262,212,107,50,8,19,20,7,9,7,117,797,21
4,13220,東大和市,927,185,310,277,32,4,10,23,0,19,9,58,897,30
4,13221,清瀬市,925,345,204,134,30,1,13,27,3,9,10,149,875,50
4,13222,東久留米市,1572,376,311,236,242,35,31,38,5,14,31,253,1564,8
4,13223,武蔵村山市,953,258,205,222,30,6,2,18,1,103,0,108,937,16
4,13224,多摩市,2157,932,557,242,69,27,21,27,12,18,17,235,1955,202
4,13225,稲城市,1018,387,281,114,28,10,9,18,0,29,6,136,967,51
4,13227,羽村市,1744,264,163,271,80,20,2,18,0,257,0,669,1804,-60
4,13228,あきる野市,633,114,175,70,49,3,2,20,0,36,2,162,600,33
4,13229,西東京市,2831,1023,915,277,105,22,50,40,16,38,9,336,2804,27
1,13550,町村部,1009,140,163,313,57,12,7,35,0,98,2,182,1029,-20
2,13300,西多摩郡,776,124,76,236,45,12,4,26,0,93,0,160,795,-19
4,13303,瑞穂町,678,110,58,207,29,12,4,25,0,88,0,145,701,-23
4,13305,日の出町,67,11,10,19,6,0,0,1,0,5,0,15,62,5
4,13307,檜原村,10,0,2,3,5,0,0,0,0,0,0,0,13,-3
4,13308,奥多摩町,21,3,6,7,5,0,0,0,0,0,0,0,19,2
2,13350,島部,233,16,87,77,12,0,3,9,0,5,2,22,234,-1
3,13360,大島支庁,52,10,9,4,1,0,1,5,0,4,0,18,55,-3
3,13380,三宅支庁,38,0,21,14,2,0,0,0,0,0,0,1,37,1
3,13400,八丈支庁,131,5,53,58,5,0,2,4,0,0,2,2,129,2
3,13420,小笠原支庁,12,1,4,1,4,0,0,0,0,1,0,1,13,-1
,,,,,,,,,,,,,,,,
外国人登録人口　平成19年4月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人登録人口 （平成19年4月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１９年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
