全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,成瀬駅北口駅前広場公共トイレ,,,132098,,東京都町田市南成瀬1-1成瀬駅隣接,東京都,町田市,南成瀬,1月1日,成瀬駅隣接,,35.53556167,139.4730628,,,,,,,,,,,,,,有,有,有,7:00,22:30,ベビーチェア、オムツ交換台,,,
132098,,町田市,恩廻公園,,,132098,,東京都町田市三輪町539-72,東京都,町田市,三輪町,539-72,,,35.57615703,139.5037193,,,,,,,,,,,,,,無,有,無,0:00,23:59,,,,
132098,,町田市,鶴見川クリーンセンター,,,132098,,東京都町田市三輪緑山1-1,東京都,町田市,三輪緑山,1月1日,,,35.57070192,139.49196,,,,,,,,,,,,,,有,無,無,8:30,17:00,定休日：土、日、祝日、年末年始,,,
132098,,町田市,三輪みどり山球場,,,132098,,東京都町田市三輪緑山1-24-1,東京都,町田市,三輪緑山,1-24-1,,,35.57180049,139.4916773,,,,,,,,,,,,,,有,有,無,,,3月～12月 9:00～21:00、1月～2月 11:00～15:00（土・日・祝のみ）。ベビーチェア,,,
132098,,町田市,三輪中央公園,,,132098,,東京都町田市三輪緑山3-21,東京都,町田市,三輪緑山,3月21日,,,35.57405549,139.4888677,,,,,,,,,,,,,,無,有,無,8:00,17:30,,,,
132098,,町田市,沢谷戸自然公園,,,132098,,東京都町田市三輪緑山4-1-18,東京都,町田市,三輪緑山,2004/1/18,,,35.57777488,139.4913035,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,三輪コミュニティセンター,,,132098,,東京都町田市三輪緑山4-14-1,東京都,町田市,三輪緑山,4-14-1,,,35.57718338,139.4930652,,,,,,,,,,,,,,有,有,無,8:30,22:00,定休日：第3水曜日。ベビーシート,,,
132098,,町田市,山王塚公園,,,132098,,東京都町田市薬師台3-3-20,東京都,町田市,薬師台,2003/3/20,,,35.58210824,139.4533588,,,,,,,,,,,,,,無,有,無,0:00,23:59,,,,
132098,,町田市,松葉谷戸公園,,,132098,,東京都町田市金森東1-1076-2,東京都,町田市,金森東,1-1076-2,,,35.5359676,139.4642483,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,金森図書館,,,132098,,東京都町田市金森東3-5-1,東京都,町田市,金森東,2003/5/1,,,35.53345412,139.4659348,,,,,,,,,,,,,,有,無,無,,,火・水・金 10:00～18:00、木・土・日・祝 10:00～17:00。定休日：月曜日・第2木曜日、月曜日が祝日のときは開館、第２木曜日が祝日のときは翌日休み,,,
