年,認知件数（件）,検挙件数（件）
平成１５（２００３）年,10029,3893
平成１６（２００４）年,9184,3656
平成１７（２００５）年,8751,3797
平成１８（２００６）年,8326,3779
平成１９（２００７）年,7664,3542
平成２０（２００８）年,7111,3555
平成２１（２００９）年,6688,3563
平成２２（２０１０）年,7027,3637
平成２３（２０１１）年,6870,3550
平成２４（２０１２）年,7263,3946
平成２５（２０１３）年,7672,3967
平成２６（２０１４）年,7400,4300
平成２７（２０１５）年,6755,4129
平成２８（２０１６）年,6188,4207
