管理職,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年
係長相当職（％）,9.0,9.6,10.8,9.3,14.3,12.0,12.7,16.4,13.0,12.8,18.0,20.2,23.6
課長相当職（％）,5.0,4.4,3.7,4.6,6.0,5.2,5.7,7.7,8.9,5.7,7.6,8.7,9.3
部長相当職（％）,2.1,3.2,2.0,2.5,3.3,2.9,2.8,4.5,5.9,3.7,3.9,4.4,4.5
役員（％）,4.4,5.3,4.8,6.4,4.6,4.7,4.5,5.3,8.1,5.7,5.5,6.9,8.0
