区分１,区分２,就業時間（時間）,家庭内労働時間（時間）,合計（時間）
妻,総数,４：２３,４：１４,８：３７
妻,子供のいない夫・妻,４：４０,３：１３,７：５３
妻,末子が就学前,３：３７,５：５６,９：３３
妻,末子が小学生,４：１３,４：４４,８：５７
妻,末子が中学生,４：３６,４：３３,９：０９
妻,末子が高校生,４：４７,４：３２,９：１９
妻,末子がその他,４：２６,４：１１,８：３７
