年,１５～２４歳（女性）（万人）,２５～３４歳（女性）（万人）,総数（女性）（万人）,１５～２４歳（男性）（万人）,２５～３４歳（男性）（万人）,総数（男性）（万人）
平成１３（２００１）年,7,10,17,14,18,32
平成１４（２００２）年,11,13,24,18,22,40
平成１５（２００３）年,11,12,23,17,24,41
平成１６（２００４）年,10,12,22,17,25,42
平成１７（２００５）年,10,13,23,16,26,42
平成１８（２００６）年,10,12,22,16,24,40
平成１９（２００７）年,10,14,24,15,23,38
平成２０（２００８）年,10,13,23,16,25,41
平成２１（２００９）年,10,13,23,16,24,40
平成２２（２０１０）年,9,13,22,15,22,37
平成２３（２０１１）年,9,13,22,15,22,37
平成２４（２０１２）年,10,13,23,16,24,40
平成２５（２０１３）年,9,12,21,15,23,38
平成２６（２０１４）年,9,12,21,13,22,35
平成２７（２０１５）年,8,13,21,14,22,36
平成２８（２０１６）年,9,11,20,14,23,37
