年齢階級,男性（％）,女性（％）
２０～２４歳,56.4,53.5
２５～３４歳,66.3,53.7
３５～４４歳,73.6,58.3
４５～５４歳,76.6,65.8
５５～６４歳,71.3,62.6
６５～７４歳,61.6,58.7
７５～８４歳,54.4,51.6
８５歳以上,43.1,38.6
