年,平成１７（２００５）年平均,平成１８（２００６）年平均,平成１９（２００７）年平均,平成２０（２００８）年平均,平成２１（２００９）年平均,平成２２（２０１０）年平均,平成２３（２０１１）年平均,平成２４（２０１２）年平均,平成２５（２０１３）年平均,平成２６（２０１４）年平均,平成２７（２０１５）年平均
１５～２４歳,51.4 ,48.6 ,49.8 ,48.3 ,48.8 ,49.6 ,49.8 ,50.6 ,52.5 ,52.7 ,52.1 
２５～３４歳,40.6 ,41.5 ,42.3 ,41.2 ,41.5 ,41.3 ,41.0 ,40.9 ,41.4 ,42.1 ,40.8 
３５～４４歳,54.4 ,55.3 ,54.4 ,55.1 ,53.9 ,53.8 ,54.9 ,53.8 ,54.8 ,55.4 ,54.6 
４５～５４歳,57.4 ,57.8 ,58.4 ,57.6 ,57.6 ,57.6 ,58.0 ,58.4 ,59.2 ,59.8 ,59.7 
５５～６４歳,60.8 ,61.1 ,62.0 ,63.9 ,62.7 ,64.4 ,66.3 ,65.3 ,67.5 ,68.1 ,67.4 
６５歳以上,71.4 ,66.7 ,68.4 ,70.7 ,68.5 ,70.7 ,70.4 ,71.4 ,73.7 ,75.6 ,77.3 
