区分,昭和６１（１９８６）年,昭和６２（１９８７）年,昭和６３（１９８８）年,平成元（１９８９）年,平成２（１９９０）年,平成３（１９９１）年,平成４（１９９２）年,平成５（１９９３）年,平成６（１９９４）年,平成７（１９９５）年,平成８（１９９６）年,平成９（１９９７）年,平成１０（１９９８）年,平成１１（１９９９）年,平成１２（２０００）年,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
課長代理級（％）,11.2,11.6,12.0,12.4,12.8,13.1,13.8,14.4,14.7,15.1,15.5,16.0,16.9,18.0,19.2,20.8,22.0,23.0,24.1,24.8,25.4,25.9,26.8,27.5,28.4,29.1,29.2,29.8,30.4,31.1,31.9
主任・その他（％）,27.9,28.0,28.8,29.4,29.8,30.3,30.8,31.7,32.5,32.7,33.2,33.6,34.0,34.9,34.6,35.6,36.0,36.6,37.1,37.3,42.2,42.4,42.8,43.4,44.2,44.3,44.2,44.0,44.0,44.0,43.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
