区分,昭和６０（１９８５）年,昭和６１（１９８６）年,昭和６２（１９８７）年,昭和６３（１９８８）年,平成元（１９８９）年,平成２（１９９０）年,平成３（１９９１）年,平成４（１９９２）年,平成５（１９９３）年,平成６（１９９４）年,平成７（１９９５）年,平成８（１９９６）年,平成９（１９９７）年,平成１０（１９９８）年,平成１１（１９９９）年,平成１２（２０００）年,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
裁判官（％）,3.3,3.5,3.9,4.1,4.5,5.0,5.5,6.0,6.7,7.2,8.2,8.9,9.7,10.2,10.4,10.9,11.3,12.2,12.6,13.2,13.7,14.2,14.6,15.4,16.0,16.5,17.0,17.7,18.2,18.7,20.0,20.7
検察官（％）,1.3,1.1,1.2,1.5,1.8,2.1,2.2,2.4,2.8,3.3,3.7,4.1,4.6,5.2,5.5,6.1,7.0,7.7,8.4,8.6,9.5,10.2,10.9,12.2,12.9,13.6,14.1,14.4,14.9,15.8,16.6,17.1
弁護士（％）,4.8,5.0,5.2,5.3,5.3,5.5,5.8,5.9,6.1,6.3,6.6,6.9,7.4,7.9,8.4,8.9,10.1,11.0,11.7,12.1,12.5,13.0,13.6,14.4,15.4,16.3,16.9,17.5,17.7,18.1,18.2,18.3
