事業所規模,いる（％）,いない（％）,無回答（％）
事業所規模計,11.1,84.2,4.7
３０～９９人,1.4,93.4,5.2
１００～２９９人,7.9,86.9,5.2
３００～４９９人,11.4,86.1,2.5
５００～９９９人,17.3,79.6,3.1
１０００人以上,31.2,63.3,5.5
