性別,総数,２０～２４,２５～２９,３０～３４,３５～３９,４０～４４,４５～４９,５０～５４,５５～５９,６０～６４,６５～６９
男性,235.4,188.6,209.2,225.8,233.1,237.3,241.3,247,246.7,255.2,232.6
女性,188.6,177,192.2,196.6,197.7,194,190.5,187.2,181.7,183,172.4
