年,平成１２（２０００）年,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
記者総数に占める女性記者の割合（％）,10.2,10.6,11.4,11.5,11.7,12.0,12.7,13.8,14.7,14.8,15.6,15.9,16.5,16.7,16.3,17.6,18.4
全従業員に占める女性の割合（％）,9.9,10.0,10.4,10.8,11.0,11.4,11.9,12.5,13.4,13.8,14.4,14.9,15.3,15.3,15.8,16.3,16.8
