家庭種別,平成１０（１９９８）年,平成１１（１９９９）年,平成１２（２０００）年,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年
推計母子家庭数（世帯）,106900,108700,110200,112000,114600,116500,118100,119800,121700,143500,145800,147900,149400,150600,151600,157900
推計父子家庭数（世帯）,18400,18700,19000,19300,20200,20500,20800,21100,21400,17500,17800,18100,18200,18400,18500,19200
