性別,１００万円以下,２００万円以下,３００万円以下,４００万円以下,５００万円以下,６００万円以下,７００万円以下,８００万円以下,９００万円以下,１，０００万円以下,１，５００万円以下,２，０００万円以下,２，０００万円超
男性（％）,3.1 ,7.3 ,12.7 ,18.3 ,17.5 ,12.9 ,8.4 ,6.0 ,4.2 ,2.7 ,5.0 ,1.1 ,0.7 
女性（％）,16.5 ,26.1 ,21.4 ,16.2 ,9.2 ,4.9 ,2.4 ,1.3 ,0.7 ,0.4 ,0.6 ,0.2 ,0.0 
