年,平成１７（２００５）年平均,平成１８（２００６）年平均,平成１９（２００７）年平均,平成２０（２００８）年平均,平成２１（２００９）年平均,平成２２（２０１０）年平均,平成２３（２０１１）年平均,平成２４（２０１２）年平均,平成２５（２０１３）年平均,平成２６（２０１４）年平均,平成２７（２０１５）年平均
１５～２４歳,44.3 ,43.2 ,43.4 ,44.7 ,41.1 ,43.0 ,45.8 ,43.9 ,45.7 ,44.3 ,43.9 
２５～３４歳,12.7 ,13.2 ,13.7 ,14.2 ,13.9 ,13.9 ,15.2 ,15.3 ,16.4 ,16.9 ,16.5 
３５～４４歳,7.0 ,7.3 ,7.5 ,8.2 ,7.3 ,8.0 ,8.4 ,8.2 ,9.2 ,9.7 ,9.8 
４５～５４歳,8.4 ,7.9 ,7.9 ,7.9 ,7.7 ,7.8 ,8.1 ,8.6 ,9.0 ,9.4 ,9.0 
５５～６４歳,27.1 ,26.3 ,25.8 ,27.7 ,27.8 ,28.8 ,31.1 ,31.4 ,32.5 ,32.9 ,31.5 
６５歳以上,66.7 ,67.3 ,68.0 ,68.4 ,65.9 ,68.7 ,69.1 ,66.9 ,69.5 ,71.4 ,71.8 
