区分,制度あり（％）,制度なし（％）,不明（％）
事業所規模計,73.1,26.9,0.1
事業所規模別５～２９人,69.2,30.8,0.1
事業所規模別３０～９９人,90.2,9.7,0.1
事業所規模別１００～４９９人,98.4,1.6,0.0
事業所規模別５００人以上,100.0,,
