区分,男性（％）,女性（％）
自由に仕事がしたかった,17.8,13.0
仕事の経験・知識や資格を生かしたかった,15.4,18.1
自分の技術やアイデアを事業化したかった,11.4,15.2
事業経営という仕事に興味があった,15.9,6.7
収入を増やしたかった,18.7,14.6
社会の役に立つ仕事がしたかった,8.4,11.7
年齢や性別に関係なく仕事がしたかった,2.1,3.8
適当な勤め先がなかった,1.7,2.9
趣味や特技を生かしたかった,0.8,2.9
時間や気持ちにゆとりが欲しかった,2.2,3.5
その他,5.5,8.3
