都道府県,件数（件）
北海道,2445
青森県,896
岩手県,2378
宮城県,2319
秋田県,844
山形県,386
福島県,1523
茨城県,1267
栃木県,2460
群馬県,1863
埼玉県,5735
千葉県,7698
東京都,14323
神奈川県,5494
新潟県,1396
富山県,1383
石川県,1603
福井県,1250
山梨県,1443
長野県,651
岐阜県,1348
静岡県,2711
愛知県,2624
三重県,305
滋賀県,836
京都府,5638
大阪府,7252
兵庫県,7670
奈良県,882
和歌山県,855
鳥取県,564
島根県,778
岡山県,2655
広島県,1138
山口県,529
徳島県,4934
香川県,503
愛媛県,673
高知県,596
福岡県,3157
佐賀県,1468
長崎県,1439
熊本県,1321
大分県,485
宮崎県,374
鹿児島県,1367
沖縄県,2171
