性別,１５～２４歳,２５～３４歳,３５～４４歳,４５～５４歳,５５～６４歳,６５歳以上
男性（％）,44.2,94.8,96.5,95.3,87.8,34.5
女性（％）,47.5,81.7,71.8,76.4,61.8,16.2
