年度,総数（世帯）,１００万未満（％）,１００～２００万未満（％）,２００～４００万未満（％）,４００～６００万未満（％）,６００～８００万未満（％）,８００万以上（％）,無回答（％）
平成２４（２０１２）年度,63,4.8,7.9,19.0,22.2,15.9,25.4,4.8
平成１９（２００７）年度,65,1.5,1.5,26.2,32.3,12.3,23.1,3.1
平成１４（２００２）年度,78,2.6,7.7,17.9,33.3,17.9,16.7,3.8
平成９（１９９７）年度,86,1.2,7.0,20.9,27.9,14.0,26.7,2.3
