年度,総数（世帯）,１００万未満（％）,１００～２００万未満（％）,２００～４００万未満（％）,４００～６００万未満（％）,６００～８００万未満（％）,８００万以上（％）,無回答（％）
平成２４（２０１２）年度,607,18.3,23.6,30.8,13.3,5.8,3.0,5.3
平成１９（２００７）年度,527,12.9,26.0,32.6,13.5,5.3,4.4,5.3
平成１４（２００２）年度,595,9.6,25.4,35.0,11.4,6.9,3.9,7.9
平成９（１９９７）年度,560,9.6,23.8,34.0,16.6,5.5,6.3,4.3
