年次,昭和５８（１９８４）年,昭和５９（１９８５）年,昭和６０（１９８６）年,昭和６１（１９８７）年,昭和６２（１９８８）年,昭和６３（１９８８）年,平成元（１９８９）年,平成２（１９９０）年,平成３（１９９１）年,平成４（１９９２）年,平成５（１９９３）年,平成６（１９９４）年,平成７（１９９５）年,平成８（１９９６）年,平成９（１９９７）年,平成１０（１９９８）年,平成１１（１９９９）年,平成１２（２０００）年,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年
都,1.43 ,1.43 ,1.44 ,1.37 ,1.35 ,1.31 ,1.24 ,1.23 ,1.18 ,1.14 ,1.10 ,1.14 ,1.11 ,1.07 ,1.05 ,1.05 ,1.03 ,1.07 ,1.00 ,1.02 ,1.00 ,1.01 ,1.00 ,1.02 ,1.05 ,1.09 ,1.12 ,1.12 ,1.06 ,1.09 ,1.13 ,1.15,1.24
全国,1.80 ,1.81 ,1.76 ,1.72 ,1.69 ,1.66 ,1.57 ,1.54 ,1.53 ,1.50 ,1.46 ,1.50 ,1.42 ,1.43 ,1.39 ,1.38 ,1.34 ,1.36 ,1.33 ,1.32 ,1.29 ,1.29 ,1.26 ,1.32 ,1.34 ,1.37 ,1.37 ,1.39 ,1.39 ,1.41 ,1.43 ,1.42,1.45
