都道府県,割合（％）
北海道,2.6
青森県,3.8
岩手県,3.0
宮城県,4.2
秋田県,2.1
山形県,1.0
福島県,3.4
茨城県,5.6
栃木県,2.6
群馬県,0.5
埼玉県,4.5
千葉県,6.2
東京都,9.4
神奈川県,7.3
新潟県,3.3
富山県,1.5
石川県,2.2
福井県,2.1
山梨県,3.2
長野県,1.1
岐阜県,3.5
静岡県,1.3
愛知県,5.6
三重県,3.7
滋賀県,3.3
京都府,4.0
大阪府,15.2
兵庫県,6.1
奈良県,7.1
和歌山県,5.5
鳥取県,3.0
島根県,2.9
岡山県,6.6
広島県,5.8
山口県,8.3
徳島県,8.4
香川県,10.4
愛媛県,6.0
高知県,12.1
福岡県,8.8
佐賀県,1.6
長崎県,4.4
熊本県,2.4
大分県,2.5
宮崎県,3.3
鹿児島県,5.9
沖縄県,9.8
全国平均,5.2
