性別,総数,２０～２４,２５～２９,３０～３４,３５～３９,４０～４４,４５～４９,５０～５４,５５～５９,６０～６４,６５～６９
男性（千円）,349.0,211.9,250.3,293.2,331.9,369.5,412.3,440.5,431.2,323.1,307.5
女性（千円）,262.0,203.6,231.9,255.5,268.4,281.5,294.1,298.7,289.9,255.6,255.6
