区分,昭和６１（１９８６）年,昭和６２（１９８７）年,昭和６３（１９８８）年,平成元（１９８９）年,平成２（１９９０）年,平成３（１９９１）年,平成４（１９９２）年,平成５（１９９３）年,平成６（１９９４）年,平成７（１９９５）年,平成８（１９９６）年,平成９（１９９７）年,平成１０（１９９８）年,平成１１（１９９９）年,平成１２（２０００）年,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
小学校（％）,3.8,4.5,5.4,6.6,7.9,9.2,10.5,12.0,13.3,14.5,15.9,17.2,18.2,18.6,19.1,19.5,19.7,19.9,19.9,19.9,19.7,19.6,19.7,19.9,20.1,20.2,20.3,20.2,20.6,21.0,21.3
中学校（％）,0.8,1.0,1.3,1.5,1.7,2.1,2.3,2.7,3.3,3.8,4.2,4.6,5.0,5.5,5.7,5.9,6.0,6.0,6.2,6.4,6.5,6.5,6.5,6.5,6.7,6.9,7.1,7.3,7.2,7.6,8.4
高等学校（％）,1.7,1.8,1.9,1.9,2.0,1.9,2.1,2.2,2.4,2.7,2.8,3.0,3.4,3.7,3.9,4.2,4.5,4.9,5.2,5.3,5.7,5.8,6.0,6.2,6.6,6.6,7.3,7.5,7.5,7.9,8.1
