管理職,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年,
総数,68.8,67.5,66.3,67.7,80.0,80.2,76.7,75.1,78.0,72.3,74.6,79.8,74.0,78.8
係長以上の女性管理職（％）,45.8,44.7,43.5,46.5,53.6,51.1,52.1,48.0,51.2,45.1,52.1,54.9,51.2,51.7
係長相当職（％）,36.4,37.8,38.0,40.3,49.9,51.2,49.8,50.4,49.7,41.0,48.2,54.2,48.7,49.8
課長相当職（％）,15.4,17.1,19.1,18.2,27.9,27.4,26.0,26.1,26.3,24.2,27.4,31.4,29.8,33.1
部長相当職（％）,18.2,16.3,16.8,17.1,24.4,20.2,19.7,19.6,20.2,22.8,18.5,22.2,21.3,28.6
役員（％）,16.3,16.8,17.1,24.4,20.2,19.7,19.6,20.2,22.8,18.5,22.2,21.3,28.6,
