年齢階級,全体（％）,男性（％）,女性（％）
総数,3.2,3.8,3.3
１５～２４歳,4.8,4.9,4.7
２５～３４歳,3.7,4,3.3
３５～４４歳,2.9,2.6,3.4
４５～５４歳,3.1,2.9,3.3
５５～６４歳,3.1,3.1,3.1
６５歳以上,2.4,2.6,2.1
