区分,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
自衛官（％）,4.9,5.2,5.2,5.4,5.5,5.6,5.7,5.9,
消防団員（％）,1.9,2.0,2.2,2.2,2.3,2.4,2.5,2.6,2.8
都道府県防災会議委員（％）,3.1,3.2,4.1,3.6,4.6,10.7,12.1,13.2,14.0
