年,認知件数（件）,検挙件数（件）
平成１５（２００３）年,1278,609
平成１６（２００４）年,1261,597
平成１７（２００５）年,1018,577
平成１８（２００６）年,1091,634
平成１９（２００７）年,1156,643
平成２０（２００８）年,1098,609
平成２１（２００９）年,959,539
平成２２（２０１０）年,891,457
平成２３（２０１１）年,837,475
平成２４（２０１２）年,933,548
平成２５（２０１３）年,910,520
平成２６（２０１４）年,999,673
平成２７（２０１５）年,808,534
平成２８（２０１６）年,801,644
