性別,１５～１９歳,２０～２４歳,２５～２９歳,３０～３４歳,３５～３９歳,４０～４４歳,４５～４９歳,５０～５４歳,５５～５９歳,６０～６４歳,６５歳以上
男性（％）,20.1,70.9,93.9,95.8,96.1,96.6,96.2,95.3,93.4,80.3,31.7
女性（％）,18.1,74.2,81.8,73.4,71.9,75.9,78.3,77.1,71.3,52,15.9
