年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
１５～２４歳のうち在学中を除く（万人）,69,68,69,64,66,63,59,59
２５～３４歳（万人）,212,210,203,200,200,201,192,186
３５～４４歳（万人）,288,294,307,307,319,325,320,313
４５～５４歳（万人）,278,283,285,293,308,318,330,342
５５～６４歳（万人）,231,245,255,250,257,260,260,262
６５歳以上（万人）,66,69,71,80,87,102,119,137
