年齢階級,全体（％）,男性（％）,女性（％）
総数,3.1,3.3,2.8
１５～２４歳,5.1,5.7,4.5
２５～３４歳,4.3,4.4,4.1
３５～４４歳,2.9,2.9,2.9
４５～５４歳,2.5,2.6,2.4
５５～６４歳,2.9,3.4,2.3
６５歳以上,1.9,2.5,1.3
