性別労働者別,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年
女性一般労働者（円／時間）,1725,1738,1785,1758,1789,1759,1840,1807,1810,1923,1896
男性一般労働者（円／時間）,2552,2506,2550,2501,2502,2491,2510,2531,2510,2603,2650
女性短時間労働者（円／時間）,1134,1124,1150,1107,1126,1156,1167,1182,1181,1207,1221
男性短時間労働者（円／時間）,1227,1202,1252,1204,1233,1245,1220,1234,1281,1254,1300
