年,認知件数（件）,検挙件数（件）
平成１５（２００３）年,288,216
平成１６（２００４）年,263,171
平成１７（２００５）年,231,170
平成１８（２００６）年,232,169
平成１９（２００７）年,234,189
平成２０（２００８）年,215,170
平成２１（２００９）年,213,157
平成２２（２０１０）年,160,137
平成２３（２０１１）年,178,149
平成２４（２０１２）年,147,145
平成２５（２０１３）年,191,170
平成２６（２０１４）年,193,169
平成２７（２０１５）年,179,163
平成２８（２０１６）年,138,149
