年度,平成１９（２００７）年度,平成２０（２００８）年度,平成２１（２００９）年度,平成２２（２０１０）年度,平成２３（２０１１）年度,平成２４（２０１２）年度,平成２５（２０１３）年度,平成２６（２０１４）年度,平成２７（２０１５）年度
男性（件）,1477,3398,2905,3106,3152,3015,3435,3131,2914
女性（件）,2444,4274,4479,4561,5159,4985,5565,4895,5284
合計（件）,3921,7672,7384,7667,8311,8000,9000,8026,8198
労働相談総数に占めるパート・アルバイト労働相談件数の割合（％）,7.2,14,13.4,14.7,15.9,15.3,17.1,15.1,15.8
労働相談総数（件）,54669,54933,55082,52196,52363,52155,52684,53104,51960
