子育てひろばの種別,平成１３（２００１）年,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年
子育てひろばＡ型（箇所）,292,300,310,347,361,414,473,518,494,524,544,556,,,
子育てひろばＢ型（箇所）,9,10,19,24,33,49,53,65,71,79,85,83,,,
Ｃ型（つどいの広場）（箇所）,,,2,2,24,64,84,105,122,132,142,159,,,
都単独型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,532,521,495
一般型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,186,268,287
地域機能強化型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,56,,
連携型（Ｈ２５以降）（箇所）,,,,,,,,,,,,,34,51,89
合計（箇所）,301,310,331,373,418,527,610,688,687,735,771,798,808,840,871
