非労働人口（女性）,総数,１５～２４歳,２５～３４歳,３５～４４歳,４５～５４歳,５５～６４歳,６５歳以上
非労働力人口（万人）,2843,327,152,228,187,309,1642
うち就業希望者（万人）,274,46,59,77,45,29,19
合計（万人）,3117,373,211,305,232,338,1661
非労働力人口に占める就業希望者の割合（％）,9.6,14.1,38.8,33.8,24.1,9.4,1.2
