年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
１５～２４歳のうち在学中を除く（万人）,47,44,48,45,47,44,45,45
２５～３４歳（万人）,94,92,100,97,101,102,98,93
３５～４４歳（万人）,56,61,65,63,70,73,73,71
４５～５４歳（万人）,46,47,49,51,55,58,57,58
５５～６４歳（万人）,138,145,157,156,160,161,152,150
６５歳以上（万人）,93,95,98,99,116,132,148,162
