年度,平成１９（２００７）年度,平成２０（２００８）年度,平成２１（２００９）年度,平成２２（２０１０）年度,平成２３（２０１１）年度,平成２４（２０１２）年度,平成２５（２０１３）年度,平成２６（２０１４）年度,平成２７（２０１５）年度
男性（件）,1886,1828,1433,1109,935,962,1284,1203,1202
女性（件）,2421,2265,1343,1582,1507,1573,1373,1849,1424
合計（件）,4307,4093,2776,2691,2442,2535,2657,3052,2626
労働相談総数に占めるパート・アルバイト労働相談件数の割合（％）,7.9 ,7.5 ,5.0 ,5.2 ,4.7 ,4.9 ,5.0 ,5.7 ,5.1 
労働相談総数（件）,54669,54933,55082,52196,52363,52155,52684,53104,51960
