年,認知件数（件）,検挙件数（件）
平成１５（２００３）年,2472,1569
平成１６（２００４）年,2176,1403
平成１７（２００５）年,2076,1443
平成１８（２００６）年,1948,1460
平成１９（２００７）年,1766,1394
平成２０（２００８）年,1582,1326
平成２１（２００９）年,1402,1163
平成２２（２０１０）年,1289,1063
平成２３（２０１１）年,1185,993
平成２４（２０１２）年,1240,1097
平成２５（２０１３）年,1410,1163
平成２６（２０１４）年,1250,1100
平成２７（２０１５）年,1167,1114
平成２８（２０１６）年,989,970
