年,件数（件）
平成１４（２００２）年,12024
平成１５（２００３）年,11923
平成１６（２００４）年,13403
平成１７（２００５）年,12220
平成１８（２００６）年,12501
平成１９（２００７）年,13463
平成２０（２００８）年,14657
平成２１（２００９）年,14823
平成２２（２０１０）年,16176
平成２３（２０１１）年,14618
平成２４（２０１２）年,19920
平成２５（２０１３）年,21089
平成２６（２０１４）年,22823
平成２７（２０１５）年,21968
