認証保育所,平成１４（２００２）年,平成１５（２００３）年,平成１６（２００４）年,平成１７（２００５）年,平成１８（２００６）年,平成１９（２００７）年,平成２０（２００８）年,平成２１（２００９）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年,平成２８（２０１６）年
Ａ型（箇所）,76,89,140,197,245,276,321,364,438,509,564,607,636,620,586
Ｂ型（箇所）,57,62,72,74,78,91,89,84,90,89,88,87,83,80,76
合計（箇所）,133,151,212,271,323,367,410,448,528,598,652,694,719,700,662
