"年度[西暦]","麻布運動場 野球場[件]","麻布運動場 テニスコート[件]","青山運動場 野球場[件]","青山運動場 テニスコート[件]","芝浦中央公園運動場 テニスコート[件]","芝浦中央公園運動場 運動広場[人]","芝浦中央公園運動場 フットサル場[件]","芝給水所公園運動場[件]","埠頭少年野球場[件]","氷川武道場[人]","愛宕弓道場[人]","江戸川河川敷グランド[件]","芝公園多目的運動場 フットサル場[件]","芝公園多目的運動場 プール[人]","芝浦南ふ頭公園運動広場[件]"
"2018","780","8084","866","3980","8074","11273","1148","515","904","6926","5547","558","2126","46960","327"
"2019","665","7624","854","3843","7673","11804","1011","1135","877","6304",,"392","1772","38610","251"
"2020","545","6317","647","3191","6673","10154","919","985","856","2200",,"260","966","31290","261"
"2021","945","7523","762","3870","8609","15715","1315","1223","1083","3099",,"420","1388","29776","334"
"2022","445","8842","887","3087","8694","10816","1218","1155","979","5634",,"509","923","32980","287"

"令和5年度港区行政資料集　施設利用状況一覧 スポーツ施設利用状況","Ver202303",,,,,,,,,,,,,,
