"年度","区分","商店会数[団体]","加盟商店会員数[店]"
"2016","区商連加盟数","57","3001"
"2017","区商連加盟数","56","2920"
"2018","区商連加盟数","54","2886"
"2019","区商連加盟数","55","2895"
"2020","区商連加盟数","55","2906"
"2020","内訳 商店街振興組合法に基づく法人","6","898"
"2020","内訳 中小企業等協同組合法に基づく法人","1","48"
"2020","内訳 任意団体","48","1960"

"令和3年度港区行政資料集　商店会数","Ver202103",,
