"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2009120101,"港南",1,24,35,59,1,,,,29,,1,"SSW",,,
2009120102,"港南",2,41,36,77,1,,,,33,,4,"E",,,
2009120103,"港南",1,53,34,87,1,,,,31,,2,"ENE",,,
2009120104,"港南",1,54,34,88,0,,,,33,,2,"ENE",,,
2009120105,"港南",1,46,33,79,0,,,,38,,2,"N",,,
2009120106,"港南",2,60,31,91,0,,,,30,,1,"SSE",,,
2009120107,"港南",2,92,35,127,0,,,,40,,2,"N",,,
2009120108,"港南",2,124,40,164,1,,,,40,,3,"N",,,
2009120109,"港南",3,79,38,117,2,,,,25,,12,"ENE",,,
2009120110,"港南",4,58,39,97,3,,,,16,,13,"ENE",,,
2009120111,"港南",3,52,40,92,2,,,,5,,16,"ENE",,,
2009120112,"港南",2,31,36,67,3,,,,25,,15,"ENE",,,
2009120113,"港南",2,15,30,45,5,,,,29,,8,"ESE",,,
2009120114,"港南",2,19,33,52,5,,,,29,,7,"NE",,,
2009120115,"港南",2,13,32,45,9,,,,37,,6,"E",,,
2009120116,"港南",4,16,39,55,7,,,,34,,4,"ENE",,,
2009120117,"港南",3,14,42,56,4,,,,24,,3,"N",,,
2009120118,"港南",3,16,44,60,2,,,,15,,9,"NE",,,
2009120119,"港南",3,14,45,59,2,,,,14,,5,"N",,,
2009120120,"港南",3,8,39,47,4,,,,10,,4,"N",,,
2009120121,"港南",3,14,43,57,2,,,,17,,5,"ENE",,,
2009120122,"港南",4,12,43,55,2,,,,18,,3,"ENE",,,
2009120123,"港南",3,13,42,55,3,,,,17,,4,"ENE",,,
2009120124,"港南",2,7,41,48,4,,,,21,,2,"ENE",,,
2009120201,"港南",2,31,47,78,1,,,,16,,3,"NNE",,,
2009120202,"港南",2,56,41,97,0,,,,33,,4,"E",,,
2009120203,"港南",2,52,36,88,0,,,,31,,3,"ENE",,,
2009120204,"港南",2,42,35,77,0,,,,30,,2,"ESE",,,
2009120205,"港南",2,40,32,72,0,,,,35,,4,"NE",,,
2009120206,"港南",2,45,30,75,0,,,,31,,3,"NE",,,
2009120207,"港南",1,33,27,60,0,,,,32,,1,"NE",,,
2009120208,"港南",2,74,31,105,1,,,,22,,2,"SW",,,
