"年月日[西暦]","選挙人名簿登録者数 男[人]","選挙人名簿登録者数 女[人]","在外選挙人名簿登録者数 男[人]","在外選挙人名簿登録者数 女[人]"
20140602,85917,100676,539,645
20150602,87358,102437,536,633
20160602,88257,103930,563,666
20170601,90712,107010,560,657
20180601,91747,108277,532,648

"平成30年度港区行政資料集　選挙人名簿登録者数","Ver201806",,,
