区分,合計（千人回）,合計対前年増減率(%),内訳／日本在住者（千人回）,内訳／日本在住者対前年増減率(%),内訳／都内在住者（千人回）,内訳／都内在住者対前年増減率(%),内訳／道府県在住者（千人回）,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
観光入込客数,558340,1.4,543164,1.2,306042,7.3,237122,-5.6,15176,6.6
観光入込客数／宿泊客,48002,4,36730,3.4,10750,3.2,25980,3.5,11272,5.9
観光入込客数／日帰り客,510338,1.1,506434,1.1,295292,7.4,211143,-6.6,3904,8.4
