区分,合計（千人回）,合計対前年増減率(%),内訳／日本在住者（千人回）,内訳／日本在住者対前年増減率(%),内訳／都内在住者（千人回）,内訳／都内在住者対前年増減率(%),内訳／道府県在住者（千人回）,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
観光入込客数,527401,-0.2,514300,-0.5,270504,0.7,243796,-1.7,13102,10.2
観光入込客数／宿泊客,43067,-0.6,33186,-3.3,9540,-5.6,23646,-2.4,9881,9.7
観光入込客数／日帰り客,484334,-0.2,481114,-0.3,260964,0.9,220150,-1.6,3221,11.7
