区分,内訳／都内在住者（地点/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（地点/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（地点/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,3.3,0.7,4.8,1.1,6.8,2.7
宿泊客／ビジネス目的,1.7,-0.2,2.6,-0.4,5.5,2.5
日帰り客／観光目的,1.6,0,1.9,0,3.3,0.1
日帰り客／ビジネス目的,1.5,0,1.6,-0.3,2.5,-0.1
