区分,合計,合計対前年増減率(%),内訳／都内在住者,内訳／都内在住者対前年増減率(%),内訳／道府県在住者,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
生産波及効果（百万円）,11840649,0.2,3692969,1.5,5658811,-2.9,2488869,5.9
所得効果（百万円）,4579548,-0.6,1406073,1,2155480,-4,1017995,5
雇用効果（人）,988946,1.3,304054,2.7,450288,-3.7,234605,10.4
税収効果（百万円）,482360,5.8,150510,7.1,230342,2.5,101508,11.8
