区分,合計（千人回）,合計対前年増減率(%),内訳／日本在住者（千人回）,内訳／日本在住者対前年増減率(%),内訳／都内在住者（千人回）,内訳／都内在住者対前年増減率(%),内訳／道府県在住者（千人回）,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
観光入込客数,528589,2.6,516695,2.1,268744,2.8,247951,1.3,11894,34
観光入込客数／宿泊客,43342,9.9,34331,4.7,10110,5.1,24221,4.5,9011,35.8
観光入込客数／日帰り客,485247,2,482365,1.9,258634,2.7,223730,1,2883,28.7
