区分,合計,合計対前年増減率(%),内訳／都内在住者,内訳／都内在住者対前年増減率(%),内訳／道府県在住者,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
生産波及効果（百万円）,11085195,-4.7,3471046,-2.4,5508441,-6.6,2105709,-3.4
所得効果（百万円）,4375331,-4.9,1322378,-3.7,2154875,-5.9,898078,-4.3
雇用効果（人）,891842,-5.9,269396,-3.8,442152,-5.5,180295,-9.9
税収効果（百万円）,404311,-4.8,126624,-2.5,201059,-6.6,76628,-3.5
