区分,内訳／都内在住者（地点/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（地点/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（地点/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,3.3,0.3,3.2,0.2,3.9,-0.9
宿泊客／ビジネス目的,2.3,0.8,2.1,-0.7,3.7,0.5
日帰り客／観光目的,1.7,0.1,1.9,0,3.6,-0.2
日帰り客／ビジネス目的,1.4,0,1.7,0.1,2.6,0.1
