区分,内訳／都内在住者（円/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（円/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（円/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,42322,1471,33456,-588,91766,-8710
宿泊客／ビジネス目的,47010,-2205,42104,-5972,106243,-16645
日帰り客／観光目的,5308,-103,8731,-218,31135,-1940
日帰り客／ビジネス目的,3265,-154,6680,-19,30939,-4598
