区分,合計（千人回）,合計対前年増減率(%),内訳／日本在住者（千人回）,内訳／日本在住者対前年増減率(%),内訳／都内在住者（千人回）,内訳／都内在住者対前年増減率(%),内訳／道府県在住者（千人回）,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
観光入込客数,339577,-39.2,337054,-37.9,227917,-25.5,109137,-54,2523,-83.4
観光入込客数／宿泊客,24058,-49.9,22225,-39.5,8393,-21.9,13832,-46.8,1833,-83.7
観光入込客数／日帰り客,315520,-38.2,314829,-37.8,219525,-25.7,95304,-54.9,691,-82.3
