区分,16年,17年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年
訪都外国人旅行者数／旅行者数（千人）,4180,4489,4808,5330,5336,4760,5942,4098,5562,6812,8874,11894,13102,13774
訪都外国人旅行者数／対前年比(%),-,7.39234449760766,7.10625974604589,10.8569051580699,0.112570356472795,-10.7946026986507,24.8319327731092,-31.0333221137664,35.7247437774524,22.4739302409205,30.2701115678215,34.0320036060401,10.1563813687574,5.1289879407724
訪都国内旅行者数／旅行者数（千人）,365978,409326,424468,436127,425200,415881,457173,420100,469258,505827,506248,516695,514300,523311
訪都国内旅行者数／対前年比(%),-,11.8444278071359,3.69925194099569,2.74673238029722,-2.50546285829586,-2.19167450611477,9.92880174857712,-8.10918405067666,11.7014996429422,7.79294119652728,8.32300371470878E-02,2.06361309081715,-0.463522968095298,1.75209021971612
訪日外国人旅行者数／旅行者数（千人）,6138,6728,7334,8347,8351,6790,8611,6219,8358,10364,13413,19737,24039.7,28691.073
訪日外国人旅行者数／対前年比(%),-,9.61225154773542,9.00713436385256,13.8123806926643,4.79214088894213E-02,-18.6923721709975,26.8188512518409,-27.7784229473929,34.3945972021225,24.0009571667863,29.4191431879583,47.148288973384,21.8001722652885,19.3487148342117
