区分,内訳／都内在住者（地点/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（地点/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（地点/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,3.1,-0.2,3.2,0.1,3.9,0
宿泊客／ビジネス目的,2.1,-0.2,2.3,0.2,2.9,-0.8
日帰り客／観光目的,1.7,0,1.8,-0.1,3.8,0.1
日帰り客／ビジネス目的,1.3,-0.1,1.2,-0.4,2.6,0
