区分,内訳／都内在住者（地点/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（地点/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（地点/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,2.5,0.2,3.4,0.4,4.6,-1.3
宿泊客／ビジネス目的,2.3,0.4,2.8,0.6,3.5,0.4
日帰り客／観光目的,1.6,0,1.8,0,3.3,-0.8
日帰り客／ビジネス目的,1.5,-0.1,1.9,0.1,2.9,-1.1
