区分,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
訪都外国人旅行者数／旅行者数（千人）,4180,4489,4808,5330,5336,4760,5942,4098,5562,6812,8874
訪都外国人旅行者数／対前年比(%),-,7.4,7.1,10.9,0.1,-10.8,24.8,-31,35.7,22.5,30.3
訪都国内旅行者数／旅行者数（千人）,365978,409326,424468,436127,425200,415881,457173,420100,469258,505827,506248
訪都国内旅行者数／対前年比(%),-,11.8,3.7,2.7,-2.5,-2.2,9.9,-8.1,11.7,7.8,0.1
訪日外国人旅行者数／旅行者数（千人）,6138,6728,7334,8347,8351,6790,8611,6219,8358,10364,13413
訪日外国人旅行者数／対前年比(%),-,9.6,9,13.8,0,-18.7,26.8,-27.8,34.4,24,29.4
